Timestamp,License Plate,Confidence,Vehicle Type,Speed,Violations
2025-04-08 21:53:09.933,NO51VSU,0.15,Car,0.9,Lane Crossing;Criminal Vehicle
2025-04-08 21:53:13.448,NA13NRU,0.49,Car,4.2,Lane Crossing
2025-04-08 21:53:14.648,ML51VSU,0.48,Car,3.5,Lane Crossing;Criminal Vehicle
2025-04-08 21:53:14.648,NA13NRU,0.49,Car,3.8,Lane Crossing
2025-04-08 21:53:15.534,NA13NRU,0.42,Car,3.4,Lane Crossing
2025-04-08 21:53:18.278,NA13NRU,0.33,Car,3.7,Lane Crossing
2025-04-08 21:53:19.015,NA13NRU,0.34,Car,3.9,Lane Crossing
2025-04-08 21:53:19.639,NA13NRU,0.49,Car,4.0,Lane Crossing
2025-04-08 21:53:20.859,NA13NRU,0.70,Car,4.3,Lane Crossing
2025-04-08 21:53:21.417,NA13NRU,0.32,Car,4.5,Lane Crossing
2025-04-08 21:53:22.019,NA13NRU,0.14,Car,4.7,Lane Crossing
2025-04-08 21:53:22.550,NA13NRU,0.38,Car,4.7,Lane Crossing
2025-04-08 21:53:23.183,NA13NRU,0.70,Car,4.3,Lane Crossing
2025-04-08 21:53:24.264,NA13NRU,0.37,Car,4.8,Lane Crossing
2025-04-08 21:53:24.914,NA13NRU,0.65,Car,4.4,Lane Crossing
2025-04-08 21:53:25.896,NA13NRU,0.59,Car,4.0,Lane Crossing
2025-04-08 21:53:28.243,NA13NRU,0.33,Car,5.2,Lane Crossing
2025-04-08 21:53:34.601,GX15OGJ,0.23,Car,3.2,Lane Crossing
2025-04-10 11:35:29.881,NO51VSU,0.15,Car,1.0,Lane Crossing;Criminal Vehicle
2025-04-10 11:35:32.859,NA13NRU,0.49,Car,5.0,Lane Crossing
2025-04-10 11:35:33.288,ML51VSU,0.48,Car,4.6,Lane Crossing;Criminal Vehicle
2025-04-10 11:35:33.288,NA13NRU,0.49,Car,5.2,Lane Crossing
2025-04-10 11:35:33.770,NA13NRU,0.42,Car,4.8,Lane Crossing
2025-04-10 11:57:44.218,NO51VSU,0.15,Car,0.8,Lane Crossing;Criminal Vehicle
2025-04-10 12:52:16.728,NO51VSU,0.15,Car,1.2,Lane Crossing;Criminal Vehicle
2025-04-10 12:52:19.542,NA13NRU,0.49,Car,5.4,Lane Crossing
2025-04-10 12:52:19.899,ML51VSU,0.48,Car,5.2,Lane Crossing;Criminal Vehicle
2025-04-10 12:52:19.899,NA13NRU,0.49,Car,5.8,Lane Crossing
2025-04-10 12:52:20.244,NA13NRU,0.42,Car,5.6,Lane Crossing
2025-04-10 12:52:21.791,NA13NRU,0.10,Car,6.5,Lane Crossing
2025-04-10 12:52:22.561,NA13NRU,0.49,Car,7.0,Lane Crossing
2025-04-10 12:52:23.420,NA13NRU,0.70,Car,7.0,Lane Crossing
2025-04-10 12:52:24.308,NA13NRU,0.32,Car,6.2,Lane Crossing
2025-04-10 12:52:24.700,NA13NRU,0.14,Car,6.7,Lane Crossing
2025-04-10 12:52:25.097,NA13NRU,0.33,Car,6.7,Lane Crossing
2025-04-10 12:52:25.455,NA13NRU,0.70,Car,6.3,Lane Crossing
2025-04-10 12:52:26.167,NA13NRU,0.37,Car,7.1,Lane Crossing
2025-04-10 16:22:54.345,NO51VSU,0.15,Car,1.1,Lane Crossing;Criminal Vehicle
2025-04-10 16:22:57.828,NA13NRU,0.49,Car,4.3,Lane Crossing
2025-04-10 16:22:58.210,ML51VSU,0.48,Car,4.3,Lane Crossing;Criminal Vehicle
2025-04-10 16:22:58.210,NA13NRU,0.49,Car,4.8,Lane Crossing
2025-04-10 16:22:58.596,NA13NRU,0.42,Car,4.6,Lane Crossing
2025-04-10 16:23:00.474,NA13NRU,0.33,Car,5.4,Lane Crossing
2025-04-10 16:23:01.128,NA13NRU,0.34,Car,5.4,Lane Crossing
2025-04-10 16:23:01.728,NA13NRU,0.49,Car,5.2,Lane Crossing
2025-04-10 16:23:03.034,NA13NRU,0.70,Car,4.9,Lane Crossing
2025-04-10 16:23:03.539,NA13NRU,0.32,Car,5.1,Lane Crossing
2025-04-10 16:23:03.941,NA13NRU,0.14,Car,5.8,Lane Crossing
2025-04-10 16:23:41.352,NO51VSU,0.15,Car,1.5,Lane Crossing;Criminal Vehicle
2025-04-10 16:23:44.279,NA13NRU,0.49,Car,5.1,Lane Crossing
2025-04-10 16:23:44.666,ML51VSU,0.48,Car,5.0,Lane Crossing;Criminal Vehicle
2025-04-10 16:23:44.666,NA13NRU,0.49,Car,5.4,Lane Crossing
2025-04-10 16:23:45.058,NA13NRU,0.42,Car,5.2,Lane Crossing
2025-04-10 18:25:39.293,NO51VSU,0.15,Car,1.0,Lane Crossing;Criminal Vehicle
2025-04-10 18:25:42.226,NA13NRU,0.49,Car,5.3,Lane Crossing
2025-04-10 18:25:42.577,ML51VSU,0.48,Car,5.2,Lane Crossing;Criminal Vehicle
2025-04-10 18:25:42.577,NA13NRU,0.49,Car,5.7,Lane Crossing
2025-04-10 18:25:42.919,NA13NRU,0.42,Car,5.5,Lane Crossing
2025-04-10 18:25:44.593,NA13NRU,0.33,Car,6.1,Lane Crossing
2025-04-10 18:25:45.175,NA13NRU,0.34,Car,6.0,Lane Crossing
2025-04-10 18:25:45.551,NA13NRU,0.49,Car,6.2,Lane Crossing
2025-04-10 18:25:46.208,NA13NRU,0.70,Car,7.1,Lane Crossing
2025-04-10 18:25:46.569,NA13NRU,0.32,Car,7.3,Lane Crossing
2025-04-10 18:25:46.928,NA13NRU,0.14,Car,7.8,Lane Crossing
2025-04-10 18:25:47.250,NA13NRU,0.38,Car,7.8,Lane Crossing
2025-04-10 18:25:47.571,NA13NRU,0.70,Car,7.3,Lane Crossing
2025-04-10 18:25:48.214,NA13NRU,0.37,Car,8.1,Lane Crossing
2025-04-10 18:25:48.598,NA13NRU,0.65,Car,7.5,Lane Crossing
2025-04-10 18:25:49.055,NA13NRU,0.59,Car,7.0,Lane Crossing
2025-04-10 18:25:50.506,NA13NRU,0.33,Car,8.6,Lane Crossing
2025-04-10 18:25:55.255,GX15OGJ,0.23,Car,4.3,Lane Crossing
2025-04-10 18:26:00.399,GX15OGJ,0.18,Car,5.1,Lane Crossing
2025-04-10 18:26:00.718,GX15OGJ,0.35,Car,4.9,Lane Crossing
2025-04-10 18:26:02.781,GX15OGJ,0.28,Car,6.1,Lane Crossing
2025-04-10 18:26:05.184,GX15OGJ,0.38,Car,7.2,Lane Crossing
2025-04-10 18:26:06.073,GX15OGJ,0.35,Car,6.8,Lane Crossing
2025-04-10 18:26:06.665,GX15OGJ,0.30,Car,6.3,Lane Crossing
2025-04-10 18:26:07.540,GX15OGJ,0.53,Car,7.2,Lane Crossing
2025-04-10 18:26:09.863,GX15OGJ,0.30,Car,7.3,Lane Crossing
2025-04-10 18:26:10.407,GX15OGJ,0.43,Car,8.2,Lane Crossing
2025-04-10 18:26:11.027,GX15OGJ,0.50,Car,8.4,Lane Crossing
2025-04-10 18:26:11.429,GX15OGJ,0.40,Car,7.8,Lane Crossing
2025-04-10 18:26:11.781,GX15OGJ,0.34,Car,6.8,Lane Crossing
2025-04-10 18:26:12.736,GX15OGJ,0.42,Car,6.7,Lane Crossing
2025-04-10 18:26:17.748,AP05JEO,0.23,Car,4.1,Lane Crossing
2025-04-10 18:26:21.586,AP05JEO,0.34,Car,5.2,Lane Crossing
2025-04-10 18:26:23.285,AP05JEO,0.22,Car,5.8,Lane Crossing
2025-04-10 18:26:23.628,AP05JEO,0.30,Car,5.2,Lane Crossing
2025-04-10 18:26:23.922,GX15OGJ,0.50,Car,7.4,Lane Crossing
2025-04-10 18:26:24.269,GX15OGJ,0.52,Car,7.3,Lane Crossing
2025-04-10 18:26:25.306,AP05JEO,0.29,Car,5.1,Lane Crossing
2025-04-10 18:26:25.722,AP05JEO,0.36,Car,4.8,Lane Crossing
2025-04-10 18:26:26.440,GX15OGJ,0.39,Car,6.8,Lane Crossing
2025-04-10 18:26:26.440,AP05JEO,0.42,Car,4.3,Lane Crossing
2025-04-10 18:26:26.866,GX15OGJ,0.26,Car,6.1,Lane Crossing
2025-04-10 18:26:26.866,AP05JEO,0.23,Car,4.2,Lane Crossing
2025-04-10 18:26:27.241,AP05JEO,0.48,Car,4.4,Lane Crossing
2025-04-10 18:26:27.616,AP05JEO,0.22,Car,4.6,Lane Crossing
2025-04-10 18:26:28.156,AP05JEO,0.16,Car,4.3,Lane Crossing
2025-04-10 18:26:28.623,AP05JEO,0.49,Car,4.1,Lane Crossing
2025-04-10 18:26:28.924,AP05JEO,0.16,Car,4.9,Lane Crossing
2025-04-10 18:26:29.272,KH05ZZK,0.54,Car,5.6,Lane Crossing
2025-04-10 18:26:29.272,AP05JEO,0.24,Car,4.8,Lane Crossing
2025-04-10 18:26:29.616,AP05JEO,0.21,Car,4.9,Lane Crossing
2025-04-10 18:26:30.011,AP05JEO,0.27,Car,5.4,Lane Crossing
2025-04-10 18:26:30.388,AP05JEO,0.17,Car,5.3,Lane Crossing
2025-04-10 18:26:31.032,AP05JEO,0.26,Car,5.7,Lane Crossing
2025-04-10 18:26:31.379,KH05ZZK,0.74,Car,5.2,Lane Crossing
2025-04-10 18:26:31.379,AP05JEO,0.41,Car,5.4,Lane Crossing
