epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3619.08,1.93278,3.168,2.1658,0.41013,0.24724,0.17384,0.06243,2.07989,2.72847,2.30641,0.000369215,0.000369215,0.000369215
1,4175.67,1.93278,3.168,2.1658,0.41013,0.24724,0.17384,0.06243,2.07989,2.72847,2.30641,0.000369215,0.000369215,0.000369215
2,6747.77,1.88975,2.54403,2.13708,0.3931,0.25723,0.1687,0.06542,2.04992,3.02718,2.15243,0.000666333,0.000666333,0.000666333
2,6917.99,1.88975,2.54403,2.13708,0.3931,0.25723,0.1687,0.06542,2.04992,3.02718,2.15243,0.000666333,0.000666333,0.000666333
3,9487.05,1.85296,2.43348,2.09391,0.6161,0.22455,0.23878,0.09426,2.01533,2.48674,2.15605,0.000890125,0.000890125,0.000890125
3,9668.58,1.85296,2.43348,2.09391,0.6161,0.22455,0.23878,0.09426,2.01533,2.48674,2.15605,0.000890125,0.000890125,0.000890125
4,12232.7,1.79182,2.25628,2.05417,0.46081,0.35985,0.30031,0.11643,1.89469,2.29476,2.02315,0.000781033,0.000781033,0.000781033
4,12413.7,1.79182,2.25628,2.05417,0.46081,0.35985,0.30031,0.11643,1.89469,2.29476,2.02315,0.000781033,0.000781033,0.000781033
5,14970.9,1.73675,2.07087,1.97422,0.32924,0.46011,0.34602,0.14461,1.91679,2.06889,2.04962,0.000671044,0.000671044,0.000671044
5,15151.7,1.73675,2.07087,1.97422,0.32924,0.46011,0.34602,0.14461,1.91679,2.06889,2.04962,0.000671044,0.000671044,0.000671044
6,17711.3,1.67886,1.9097,1.9272,0.40945,0.44683,0.4026,0.18201,1.75223,1.95912,1.94029,0.000561055,0.000561055,0.000561055
6,17892.4,1.67886,1.9097,1.9272,0.40945,0.44683,0.4026,0.18201,1.75223,1.95912,1.94029,0.000561055,0.000561055,0.000561055
7,20442.1,1.6129,1.74657,1.87175,0.44052,0.53697,0.4931,0.23344,1.72487,1.77082,1.89149,0.000451066,0.000451066,0.000451066
7,20630.9,1.6129,1.74657,1.87175,0.44052,0.53697,0.4931,0.23344,1.72487,1.77082,1.89149,0.000451066,0.000451066,0.000451066
8,23167.9,1.56346,1.61024,1.82625,0.57257,0.5786,0.58127,0.27508,1.6995,1.63879,1.87721,0.000341077,0.000341077,0.000341077
8,23305.5,1.56346,1.61024,1.82625,0.57257,0.5786,0.58127,0.27508,1.6995,1.63879,1.87721,0.000341077,0.000341077,0.000341077
9,25704.3,1.4869,1.47168,1.7572,0.56943,0.6083,0.6016,0.29773,1.64914,1.55302,1.82301,0.000231088,0.000231088,0.000231088
9,25811.5,1.4869,1.47168,1.7572,0.56943,0.6083,0.6016,0.29773,1.64914,1.55302,1.82301,0.000231088,0.000231088,0.000231088
10,28199,1.42735,1.33651,1.7113,0.64594,0.55891,0.64579,0.33402,1.60498,1.44812,1.78997,0.000121099,0.000121099,0.000121099
10,28097.2,1.42735,1.33651,1.7113,0.64594,0.55891,0.64579,0.33402,1.60498,1.44812,1.78997,0.000121099,0.000121099,0.000121099
